Epoch: 0 	 Average cost: nan
Epoch: 0 	 Average cost: nan
Epoch: 1 	 Average cost: nan
Epoch: 0 	 Average cost: 254.166087474
Epoch: 1 	 Average cost: 189.339576993
Epoch: 2 	 Average cost: 179.608039709
Epoch: 3 	 Average cost: 174.773208639
Epoch: 4 	 Average cost: 171.009635907
Epoch: 0 	 Average cost: 80.857851902
Epoch: 1 	 Average cost: 207.038982115
Epoch: 2 	 Average cost: 188.963405878
Epoch: 3 	 Average cost: 180.205577703
Epoch: 4 	 Average cost: 174.897915027
Epoch: 5 	 Average cost: 171.161691044
Epoch: 6 	 Average cost: 169.386817479
Epoch: 7 	 Average cost: 167.702709595
Epoch: 8 	 Average cost: 166.241580990
Epoch: 9 	 Average cost: 164.962885635
Epoch: 10 	 Average cost: 163.967660480
Epoch: 11 	 Average cost: 162.958661990
Epoch: 12 	 Average cost: 162.399378071
Epoch: 13 	 Average cost: 161.504526339
Epoch: 14 	 Average cost: 161.109779765
